Model,MAE,RMSE,R²
GRU,0.5601384262572511,0.7710533390253859,0.41535764953999954
LSTM + Attention,0.6359110252189321,0.8456143748326007,0.2968205967443768
TCN,0.6498185499871183,0.9012892694785714,0.20117834727659345
Transformer,0.8077040628082851,0.9947221286024934,0.026972788099762557
