State,MAE,R²,Samples,Avg_Accidents,Model
CA,128.05097565390153,0.49550956819395775,2494.0,627.3251804330393,State-Specific
FL,123.10647859122713,0.7388255046211207,2401.0,318.457309454394,State-Specific
TX,46.34268446869172,0.5834246468248617,2402.0,226.33846794338052,State-Specific
SC,44.280668033087636,0.4815816729823451,2370.0,148.07552742616033,State-Specific
NY,41.42498156738311,0.5050983824574152,2483.0,124.90898107128474,State-Specific
National,568.1706804668111,0.6592971795424017,2568.0,2554.9147196261683,National
