Date,Accident_Count,Avg_Severity,Avg_Temperature,Avg_Humidity,Avg_Visibility,Avg_Wind_Speed,Avg_Precipitation,Accident_Count_7d_MA,Accident_Count_30d_MA,Accident_Count_7d_Std,Accident_Count_Lag_1,Accident_Count_Lag_3,Accident_Count_Lag_7,Accident_Count_Lag_14,Accident_Count_Lag_30,Avg_Temperature_Lag_1,Avg_Humidity_Lag_1,Avg_Visibility_Lag_1,Avg_Temperature_Lag_7,Avg_Humidity_Lag_7,Avg_Visibility_Lag_7,Weather_Risk_Index
2016-01-14,7,4.0,31.0,69.0,10.0,3.0,0.0,7.0,7.0,,,,,,,,,,,,,-1.2522202307293924
2016-02-08,60,2.316666666666667,35.388333333333335,91.81666666666666,7.13,6.681666666666667,0.015000000000000001,33.5,33.5,37.476659402887016,7.0,,,,,31.0,69.0,10.0,,,,1.5277274629927402
2016-02-09,59,2.542372881355932,23.53220338983051,87.11864406779661,2.4101694915254237,11.46101694915254,0.005932203389830509,42.0,42.0,30.315012782448235,60.0,,,,,35.388333333333335,91.81666666666666,7.13,,,,3.5969671564340517
2016-02-10,49,2.510204081632653,17.76530612244898,77.57142857142857,3.8755102040816327,12.76734693877551,0.005306122448979592,43.75,43.75,24.998333277774073,59.0,7.0,,,,23.53220338983051,87.11864406779661,2.4101694915254237,,,,2.900428887038788
2016-02-11,93,2.3548387096774195,15.888172043010751,65.31182795698925,9.263440860215054,8.975268817204302,0.007204301075268818,53.6,53.6,30.88365263371546,49.0,60.0,,,,17.76530612244898,77.57142857142857,3.8755102040816327,,,,-0.015010408045069479
2016-02-12,18,3.0555555555555554,19.205555555555556,66.33333333333333,8.416666666666666,15.927777777777777,0.005,47.666666666666664,47.666666666666664,31.213245051847245,93.0,59.0,,,,15.888172043010751,65.31182795698925,9.263440860215054,,,,1.1537526801503228
2016-02-13,14,3.2142857142857144,10.142857142857142,58.357142857142854,10.0,11.935714285714285,0.008571428571428572,42.857142857142854,42.857142857142854,31.20592129403527,18.0,49.0,,,,19.205555555555556,66.33333333333333,8.416666666666666,,,,-0.0639051369006747
2016-02-14,13,3.4615384615384617,23.315384615384616,79.53846153846153,6.4692307692307685,9.338461538461539,0.01,43.714285714285715,39.125,30.120393344677545,14.0,93.0,7.0,,,10.142857142857142,58.357142857142854,10.0,31.0,69.0,10.0,1.6351773526131805
2016-02-15,62,2.7419354838709675,26.927419354838708,90.85483870967742,3.8548387096774195,6.808064516129032,0.007741935483870968,44.0,41.666666666666664,30.309514457784815,13.0,18.0,60.0,,,23.315384615384616,79.53846153846153,6.4692307692307685,35.388333333333335,91.81666666666666,7.13,2.5807582739721777
2016-02-16,84,2.5,32.59047619047619,90.63095238095238,4.286309523809524,7.64047619047619,0.012857142857142859,47.57142857142857,45.9,33.65935799970613,62.0,14.0,59.0,,,26.927419354838708,90.85483870967742,3.8548387096774195,23.53220338983051,87.11864406779661,2.4101694915254237,2.6981448476435097
2016-02-17,51,2.450980392156863,30.837254901960787,81.31372549019608,6.029411764705882,6.635294117647058,0.008823529411764706,47.857142857142854,46.36363636363637,33.68198614209368,84.0,13.0,49.0,,,32.59047619047619,90.63095238095238,4.286309523809524,17.76530612244898,77.57142857142857,3.8755102040816327,1.4722696507609272
2016-02-18,73,2.4246575342465753,26.568493150684933,73.68493150684931,8.483561643835616,7.312328767123287,0.01,45.0,48.583333333333336,29.844039047465856,51.0,62.0,93.0,,,30.837254901960787,81.31372549019608,6.029411764705882,15.888172043010751,65.31182795698925,9.263440860215054,0.4092380952178015
2016-02-19,72,2.388888888888889,51.168055555555554,48.69444444444444,10.0,18.8375,0.01,52.714285714285715,50.38461538461539,28.657252053155677,73.0,84.0,18.0,,,26.568493150684933,73.68493150684931,8.483561643835616,19.205555555555556,66.33333333333333,8.416666666666666,0.6211278896096002
2016-02-20,4,3.5,61.275,47.0,10.0,11.5,0.01,51.285714285714285,47.07142857142857,31.05755026674558,72.0,51.0,14.0,,,51.168055555555554,48.69444444444444,10.0,10.142857142857142,58.357142857142854,10.0,-0.35140548834962254
2016-02-21,7,3.0,49.0,83.85714285714286,6.857142857142857,5.614285714285714,0.05285714285714286,50.42857142857143,44.4,32.34634004467451,4.0,73.0,13.0,7.0,,61.275,47.0,10.0,23.315384615384616,79.53846153846153,6.4692307692307685,2.7354267887830153
2016-02-22,55,2.5454545454545454,36.238181818181815,74.85454545454546,9.89090909090909,6.76,0.01,49.42857142857143,45.0625,32.03569437807949,7.0,72.0,62.0,60.0,,49.0,83.85714285714286,6.857142857142857,26.927419354838708,90.85483870967742,3.8548387096774195,-0.20529494262961462
2016-02-23,58,2.6724137931034484,43.036206896551725,62.89655172413793,10.172413793103448,9.008620689655173,0.009999999999999998,45.714285714285715,45.8235294117647,28.692126014607126,55.0,4.0,84.0,59.0,,36.238181818181815,74.85454545454546,9.89090909090909,32.59047619047619,90.63095238095238,4.286309523809524,-0.33665421379325566
2016-02-24,86,2.5,42.652325581395345,91.68604651162791,5.517441860465116,13.659302325581395,0.055116279069767446,50.714285714285715,48.05555555555556,32.556178551924084,58.0,7.0,51.0,49.0,,43.036206896551725,62.89655172413793,10.172413793103448,30.837254901960787,81.31372549019608,6.029411764705882,4.58419314981781
2016-02-25,51,2.764705882352941,32.36862745098039,83.3529411764706,5.500980392156863,16.66862745098039,0.005490196078431373,47.57142857142857,48.21052631578947,31.074411460541732,86.0,55.0,73.0,93.0,,42.652325581395345,91.68604651162791,5.517441860465116,26.568493150684933,73.68493150684931,8.483561643835616,2.884532117941037
