Feature Set,MAE,RMSE,R²,Num Features
Weather Only,1264.1630905061413,1555.4128580563097,-0.23201535010874852,5
Time Only,574.0651714748446,862.9626596135045,0.6207646981349324,10
Combined,568.1706804668111,817.9476137757337,0.6592971795424017,15
